date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:29	596/596	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20May%202022%2006:51:27%20GMT	https://2xcrypto.net/robots.txt		(from )
09:51:29	2379/2379	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202022%2000:54:05%20GMT	https://2xcrypto.net/	C:/My%20Web%20Sites/1/2xcrypto.net/index.html	(from )
09:51:29	2493/2493	---MCZ	200	added ('OK')	text/css	etag:W/%22627ec00e-9bd%22	https://2xcrypto.net/assets/main.css	C:/My%20Web%20Sites/1/2xcrypto.net/assets/main.css	(from https://2xcrypto.net/)
09:51:30	11576/11576	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202022%2000:54:05%20GMT	https://2xcrypto.net/eth/index.html	C:/My%20Web%20Sites/1/2xcrypto.net/eth/index.html	(from https://2xcrypto.net/)
09:51:30	79278/79278	---M--	200	added ('OK')	image/png	etag:%22627ec00e-135ae%22	https://2xcrypto.net/assets/1200px-Ethereum_logo_2014.svg.png	C:/My%20Web%20Sites/1/2xcrypto.net/assets/1200px-Ethereum_logo_2014.svg.png	(from https://2xcrypto.net/)
09:51:31	12000/12000	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202022%2000:54:05%20GMT	https://2xcrypto.net/btc/index.html	C:/My%20Web%20Sites/1/2xcrypto.net/btc/index.html	(from https://2xcrypto.net/)
09:51:32	23180/23180	---MCZ	200	added ('OK')	text/css	etag:W/%22627ec00e-5a8c%22	https://2xcrypto.net/assets/style.css	C:/My%20Web%20Sites/1/2xcrypto.net/assets/style.css	(from https://2xcrypto.net/eth/index.html)
09:51:32	273149/273149	---M--	200	added ('OK')	image/png	etag:%22627ec00e-42afd%22	https://2xcrypto.net/assets/BG.png	C:/My%20Web%20Sites/1/2xcrypto.net/assets/BG.png	(from https://2xcrypto.net/assets/main.css)
09:51:33	57207/57207	---MCZ	200	added ('OK')	text/css	etag:W/%22627ec00e-df77%22	https://2xcrypto.net/assets/animate.css	C:/My%20Web%20Sites/1/2xcrypto.net/assets/animate.css	(from https://2xcrypto.net/eth/index.html)
09:51:33	27961/27961	---M--	200	added ('OK')	image/png	etag:%22627ec00e-6d39%22	https://2xcrypto.net/assets/Bitcoin.svg.png	C:/My%20Web%20Sites/1/2xcrypto.net/assets/Bitcoin.svg.png	(from https://2xcrypto.net/)
09:51:33	1262/1262	---MCZ	200	added ('OK')	text/css	etag:W/%22627ec00e-4ee%22	https://2xcrypto.net/assets/toast.min.css	C:/My%20Web%20Sites/1/2xcrypto.net/assets/toast.min.css	(from https://2xcrypto.net/eth/index.html)
09:51:33	60077/60077	---M--	200	added ('OK')	image/png	etag:%22627ec00e-eaad%22	https://2xcrypto.net/assets/coin-eth.png	C:/My%20Web%20Sites/1/2xcrypto.net/assets/coin-eth.png	(from https://2xcrypto.net/eth/index.html)
09:51:33	100782/100782	---MCZ	200	added ('OK')	text/css	etag:W/%22627ec00e-189ae%22	https://2xcrypto.net/assets/all.min.css	C:/My%20Web%20Sites/1/2xcrypto.net/assets/all.min.css	(from https://2xcrypto.net/eth/index.html)
09:51:33	3312/3312	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22627ec00e-cf0%22	https://2xcrypto.net/assets/logotype-eth.svg	C:/My%20Web%20Sites/1/2xcrypto.net/assets/logotype-eth.svg	(from https://2xcrypto.net/eth/index.html)
09:51:34	1317/1317	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22627ec00e-525%22	https://2xcrypto.net/assets/user.svg	C:/My%20Web%20Sites/1/2xcrypto.net/assets/user.svg	(from https://2xcrypto.net/eth/index.html)
09:51:34	523/523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22627ec00e-20b%22	https://2xcrypto.net/assets/gems.svg	C:/My%20Web%20Sites/1/2xcrypto.net/assets/gems.svg	(from https://2xcrypto.net/eth/index.html)
09:51:34	552/552	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22627ec00e-228%22	https://2xcrypto.net/assets/ethereum.svg	C:/My%20Web%20Sites/1/2xcrypto.net/assets/ethereum.svg	(from https://2xcrypto.net/eth/index.html)
